Interval,% Processor Time,Disk Reads/sec,Disk Writes/sec,Log Bytes Flushed/sec
10/28/2017 2:40:41 PM,100,0,63.88117,0
10/28/2017 2:40:42 PM,100,0,10.94244,0
10/28/2017 2:40:43 PM,100,2.96306,3.950142,0
10/28/2017 2:40:44 PM,100,1.927698,4.819189,0
10/28/2017 2:40:45 PM,100,16.8059,4.943023,0
10/28/2017 2:40:46 PM,100,14.77665,2.955314,0
10/28/2017 2:40:47 PM,100,23.90786,13.94737,0
10/28/2017 2:40:48 PM,100,18.85905,1.98482,0
10/28/2017 2:40:49 PM,100,13.87512,6.938034,0
10/28/2017 2:40:50 PM,100,2.954813,0,0
10/28/2017 2:40:51 PM,100,2.959557,2.974577,0
10/28/2017 2:40:52 PM,100,2.962411,1.976078,0
10/28/2017 2:40:54 PM,100,12.39351,3.914056,0
10/28/2017 2:40:55 PM,100,55.668,37.77726,0
10/28/2017 2:40:56 PM,100,9.87073,0,0
10/28/2017 2:40:57 PM,100,13.87039,1.980113,0
10/28/2017 2:40:58 PM,100,7.740573,1.936407,0
10/28/2017 2:40:59 PM,100,8.923369,1.982757,0
10/28/2017 2:41:00 PM,100,10.80866,2.947738,0
10/28/2017 2:41:01 PM,100,6.867235,1.962373,0
10/28/2017 2:41:02 PM,100,20.6943,1.970853,0
10/28/2017 2:41:03 PM,100,16.8527,5.948166,209119.4
10/28/2017 2:41:04 PM,100,6.478095,63.8494,56856.69
10/28/2017 2:41:05 PM,100,12.58142,7.744236,0
10/28/2017 2:41:06 PM,100,4.915188,2.948822,0
10/28/2017 2:41:07 PM,100,6.901076,1.971666,0
10/28/2017 2:41:08 PM,100,4.956754,0,0
10/28/2017 2:41:09 PM,100,12.80144,1.952386,0
10/28/2017 2:41:10 PM,100,29.58307,2.971864,0
10/28/2017 2:41:11 PM,100,17.68317,0,0
10/28/2017 2:41:12 PM,100,13.88831,2.975941,0
10/28/2017 2:41:13 PM,100,12.90769,1.982905,0
10/28/2017 2:41:14 PM,100,3.518804,4.403428,0
10/28/2017 2:41:15 PM,100,0.9556195,0,0
10/28/2017 2:41:16 PM,100,2.913991,6.888507,0
10/28/2017 2:41:17 PM,100,0.9824846,6.878124,0
10/28/2017 2:41:18 PM,100,11.19904,1.866207,0
10/28/2017 2:41:19 PM,100,3.9752,0.9937488,0
10/28/2017 2:41:20 PM,100,18.71235,24.62527,0
10/28/2017 2:41:21 PM,100,17.3975,1.932772,0
10/28/2017 2:41:22 PM,100,11.89995,1.983428,0
10/28/2017 2:41:23 PM,100,9.912473,0,0
10/28/2017 2:41:24 PM,100,5.957444,9.929111,0
10/28/2017 2:41:26 PM,100,12.89327,3.684015,0
10/28/2017 2:41:27 PM,100,6.885453,1.96687,0
10/28/2017 2:41:28 PM,100,3.97535,7.950299,0
10/28/2017 2:41:29 PM,100,0,1.983759,0
10/28/2017 2:41:30 PM,100,0,3.908773,0
10/28/2017 2:41:31 PM,100,1.934693,4.768244,0
10/28/2017 2:41:32 PM,100,1.900524,8.676673,0
10/28/2017 2:41:33 PM,100,8.887083,6.912231,0
10/28/2017 2:41:34 PM,100,4.888532,3.910857,0
10/28/2017 2:41:35 PM,100,11.32647,1.88772,0
10/28/2017 2:41:36 PM,100,8.63541,1.919142,0
10/28/2017 2:41:37 PM,100,7.222494,30.69422,0
10/28/2017 2:41:38 PM,100,11.36171,1.885125,0
10/28/2017 2:41:39 PM,100,37.94802,1.954913,0
10/28/2017 2:41:40 PM,100,4.606377,8.289798,0
10/28/2017 2:41:42 PM,100,8.540636,2.847075,0
10/28/2017 2:41:43 PM,100,15.3232,1.802691,0
10/28/2017 2:41:44 PM,100,10.29325,1.871579,0
10/28/2017 2:41:45 PM,100,13.29318,4.748076,0
10/28/2017 2:41:46 PM,100,15.26995,49.60355,0
10/28/2017 2:41:48 PM,100,4.877066,2.927402,0
10/28/2017 2:41:49 PM,100,10.51966,15.77832,0
10/28/2017 2:41:50 PM,100,11.81393,1.575224,0
10/28/2017 2:41:51 PM,100,8.308536,3.323086,0
10/28/2017 2:41:52 PM,100,9.66603,2.900224,0
10/28/2017 2:41:53 PM,100,4.736219,61.5157,0
10/28/2017 2:41:54 PM,100,4.808426,1.924846,0
10/28/2017 2:41:55 PM,100,9.964468,3.624034,0
10/28/2017 2:41:56 PM,100,10.25495,4.660869,0
10/28/2017 2:41:57 PM,100,11.83386,2.958958,0
10/28/2017 2:41:58 PM,100,16.9608,0,0
10/28/2017 2:41:59 PM,100,23.83694,7.95103,0
10/28/2017 2:42:01 PM,100,20.28211,6.085105,0
10/28/2017 2:42:02 PM,100,10.70303,2.910168,0
10/28/2017 2:42:03 PM,100,3.970716,0,0
10/28/2017 2:42:04 PM,100,5.983263,3.98896,0
10/28/2017 2:42:05 PM,100,2.98035,7.946707,0
10/28/2017 2:42:07 PM,100,5.224504,3.265416,0
10/28/2017 2:42:09 PM,100,18.58126,0,0
10/28/2017 2:42:10 PM,100,25.9537,31.63135,0
10/28/2017 2:42:11 PM,100,9.091761,12.87926,0
10/28/2017 2:42:13 PM,100,5.049205,0,0
10/28/2017 2:42:14 PM,100,8.684517,7.23675,0
10/28/2017 2:42:15 PM,100,4.285994,8.572342,0
10/28/2017 2:42:16 PM,100,3.670805,2.753057,0
10/28/2017 2:42:17 PM,100,81.61808,0,0
10/28/2017 2:42:18 PM,100,14.30127,3.813829,0
10/28/2017 2:42:19 PM,100,30.92311,6.982498,0
10/28/2017 2:42:20 PM,100,23.90081,7.965647,0
10/28/2017 2:42:21 PM,100,10.89252,0,0
10/28/2017 2:42:22 PM,100,4.73399,5.853124,0
10/28/2017 2:42:23 PM,100,19.84809,4.962177,0
10/28/2017 2:42:24 PM,100,15.83791,1.979826,0
10/28/2017 2:42:25 PM,100,13.74991,6.874883,0
10/28/2017 2:42:26 PM,100,9.907672,53.49342,0
10/28/2017 2:42:27 PM,100,5.888326,2.944763,0
10/28/2017 2:42:28 PM,100,3.905775,0,0
10/28/2017 2:42:30 PM,100,4.510109,3.607564,0
10/28/2017 2:42:31 PM,100,2.641027,5.282311,0
10/28/2017 2:42:32 PM,100,12.87446,1.979147,0
10/28/2017 2:42:33 PM,100,15.15913,1.896157,0
10/28/2017 2:42:34 PM,100,8.173133,1.634872,0
10/28/2017 2:42:35 PM,100,11.15294,3.717581,0
10/28/2017 2:42:36 PM,100,4.963086,4.962971,0
10/28/2017 2:42:37 PM,100,5.78669,14.46627,0
10/28/2017 2:42:38 PM,100,5.194327,3.462981,0
10/28/2017 2:42:39 PM,100,1.971101,6.899039,2018.463
10/28/2017 2:42:40 PM,100,4.811643,24.04921,0
10/28/2017 2:42:41 PM,100,3.907492,5.862663,0
10/28/2017 2:42:42 PM,100,15.77751,3.942217,0
10/28/2017 2:42:43 PM,100,11.44401,53.42695,0
10/28/2017 2:42:44 PM,100,3.895669,1.947915,0
10/28/2017 2:42:45 PM,100,13.6655,5.858562,0
10/28/2017 2:42:47 PM,100,5.686246,0,0
10/28/2017 2:42:48 PM,100,3.930748,3.949248,0
10/28/2017 2:42:49 PM,100,7.633038,5.725323,0
10/28/2017 2:42:50 PM,100,1.963945,0,0
10/28/2017 2:42:51 PM,100,0.9816729,9.776913,0
10/28/2017 2:42:52 PM,100,2.86886,2.880495,0
10/28/2017 2:42:53 PM,100,5.873425,0,0
10/28/2017 2:42:54 PM,100,6.937104,1.981934,0
10/28/2017 2:42:55 PM,100,19.51872,1.951984,0
10/28/2017 2:42:56 PM,100,7.878882,1.968544,0
10/28/2017 2:42:57 PM,100,7.900513,2.964575,0
10/28/2017 2:42:58 PM,100,6.936225,3.963278,0
10/28/2017 2:42:59 PM,100,6.939013,1.982316,0
10/28/2017 2:43:00 PM,100,2.616618,16.99568,0
10/28/2017 2:43:01 PM,100,3.861291,9.663891,0
10/28/2017 2:43:02 PM,100,2.902609,3.854774,0
10/28/2017 2:43:03 PM,100,3.756547,1.885911,0
10/28/2017 2:43:04 PM,100,13.9016,0,0
10/28/2017 2:43:05 PM,100,12.79846,1.969621,0
10/28/2017 2:43:06 PM,100,13.64069,2.923116,0
10/28/2017 2:43:08 PM,100,11.72893,0,0
10/28/2017 2:43:09 PM,100,12.69203,1.913627,0
10/28/2017 2:43:10 PM,100,2.801401,1.90519,0
10/28/2017 2:43:11 PM,100,10.93386,1.822554,0
10/28/2017 2:43:12 PM,100,15.47584,4.835853,0
10/28/2017 2:43:13 PM,100,8.453678,3.757041,0
10/28/2017 2:43:14 PM,100,12.91819,2.583754,0
10/28/2017 2:43:15 PM,100,16.90191,1.869204,0
10/28/2017 2:43:16 PM,100,17.93909,3.794471,0
10/28/2017 2:43:17 PM,100,5.874689,0,0
10/28/2017 2:43:18 PM,100,5.731723,19.10676,0
10/28/2017 2:43:19 PM,100,10.15505,3.692635,0
10/28/2017 2:43:20 PM,100,8.656526,1.923447,0
10/28/2017 2:43:21 PM,100,19.80024,2.828409,0
10/28/2017 2:43:22 PM,100,7.355051,2.755966,0
10/28/2017 2:43:24 PM,100,16.51942,6.430263,0
10/28/2017 2:43:25 PM,100,2.817457,2.113028,0
10/28/2017 2:43:26 PM,100,1.95386,1.953844,0
10/28/2017 2:43:27 PM,100,5.789892,2.894985,0
10/28/2017 2:43:28 PM,100,17.89719,0,0
10/28/2017 2:43:29 PM,100,5.763378,1.921092,0
10/28/2017 2:43:30 PM,100,10.49298,1.907831,0
10/28/2017 2:43:31 PM,100,7.541418,1.885195,0
10/28/2017 2:43:32 PM,100,13.82656,2.765812,0
10/28/2017 2:43:33 PM,100,11.2921,1.881891,0
10/28/2017 2:43:35 PM,100,2.443369,21.17601,0
10/28/2017 2:43:36 PM,100,14.01166,1.847013,0
10/28/2017 2:43:37 PM,100,12.88485,4.654655,0
10/28/2017 2:43:38 PM,100,14.73324,6.876181,1005.836
10/28/2017 2:43:39 PM,100,19.09735,6.682981,0
10/28/2017 2:43:40 PM,100,11.47256,4.779844,0
10/28/2017 2:43:41 PM,100,23.55965,0,0
10/28/2017 2:43:42 PM,100,39.79375,1.941217,0
10/28/2017 2:43:43 PM,100,6.726597,3.84392,0
10/28/2017 2:43:44 PM,100,6.636802,11.37645,0
10/28/2017 2:43:45 PM,100,5.564714,4.636061,0
10/28/2017 2:43:46 PM,100,2.799668,5.60025,0
10/28/2017 2:43:47 PM,100,3.511096,7.901304,0
10/28/2017 2:43:48 PM,100,6.582924,1.880862,0
10/28/2017 2:43:49 PM,100,5.854837,2.017514,0
10/28/2017 2:43:51 PM,100,3.695004,22.71379,0
10/28/2017 2:43:52 PM,100,2.5586,2.558097,0
